,cardboard,glass,metal,paper,plastic,trash
cardboard,327,0,6,7,0,4
glass,0,324,11,2,28,2
metal,6,6,289,3,9,4
paper,26,0,6,306,5,3
plastic,8,9,20,8,292,5
trash,4,4,7,9,4,347
