,precision,recall,f1-score,support
cardboard,0.8598382749326146,0.9273255813953488,0.8923076923076924,344.0
glass,0.9106628242074928,0.8610354223433242,0.8851540616246498,367.0
metal,0.8584615384615385,0.8801261829652997,0.8691588785046729,317.0
paper,0.9049079754601227,0.8526011560693642,0.8779761904761905,346.0
plastic,0.8126721763085399,0.8625730994152047,0.8368794326241135,342.0
trash,0.9415041782729805,0.9013333333333333,0.9209809264305178,375.0
accuracy,0.8809182209469153,0.8809182209469153,0.8809182209469153,0.8809182209469153
macro avg,0.8813411612738814,0.8808324625869791,0.8804095303279729,2091.0
weighted avg,0.8829392833153361,0.8809182209469153,0.8812477888712229,2091.0
